Breed,Male,Female
Affenpinscher,Male: 7-9 lbs,Female: 7-9 lbs
Afghan Hound,Male: 60 lbs,Female: 50 lbs
Airedale Terrier,Male: 55 lbs,Female: 55 lbs
Akita,Male: 85-130 lbs,Female: 65-110 lbs
Alaskan Malamute,Male: 85 lbs,Female: 75 lbs
American Eskimo Dog (Standard),Male: 20-40 lbs,Female: 20-40 lbs
American Foxhound,Male: 40-65 lbs,Female: 40-65 lbs
American Staffordshire Terrier,Male: 57-67 lbs,Female: 57-67 lbs
American Water Spaniel,Male: 30-45 lbs,Female: 25-40 lbs
Anatolian Shepherd,Male: 110-150 lbs,Female: 80-120 lbs
Australian Cattle Dog,Male: 35-45 lbs,Female: 35-45 lbs
Australian Shepherd,Male: 50-65 lbs,Female: 40-55 lbs
Australian Terrier,Male: 12-14 lbs,Female: 12-14 lbs
Basenji,Male: 24 lbs,Female: 22 lbs
Basset Hound,Male: 40-60 lbs,Female: 40-60 lbs
Beagle,Male: 18-30 lbs,Female: 18-30 lbs
Bearded Collie,Male: 45-55 lbs,Female: 45-55 lbs
Beauceron,Male: 65-85 lbs,Female: 65-85 lbs
Bedlington Terrier,Male: 17-23 lbs,Female: 17-23 lbs
Belgian Malinois,Male: 60-65 lbs,Female: 60-65 lbs
Belgian Sheepdog,Male: 55-75 lbs,Female: 40-60 lbs
Belgian Tervuren,Male: 55-65 lbs,Female: 40-50 lbs
Bernese Mountain Dog,Male: 90-120 lbs,Female: 70-100 lbs
Bichon Frise,Male: 11-16 lbs,Female: 10-15 lbs
Black Russian Terrier,Male: 80-145 lbs,Female: 80-145 lbs
Black and Tan Coonhound,Male: 55-75 lbs,Female: 55-75 lbs
Bloodhound,Male: 90-110 lbs,Female: 80-100 lbs
Blue Heeler,Male: 35-45 lbs,Female: 35-45 lbs
Border Collie,Male: 30-45 lbs,Female: 30-45 lbs
Border Terrier,Male: 13-16 lbs,Female: 12-14 lbs
Borzoi,Male: 75-105 lbs,Female: 60-85 lbs
Boston Terrier,Male: 10-25 lbs,Female: 10-25 lbs
Bouvier des Flandres,Male: 69-90 lbs,Female: 69-90 lbs
Boxer,Male: 65-80 lbs,Female: 50-65 lbs
Briard,Male: 75-100 lbs,Female: 50-65 lbs
Brittany,Male: 30-40 lbs,Female: 30-40 lbs
Brussels Griffon,Male: 8-10 lbs,Female: 8-10 lbs
Bull Terrier,Male: 60-70 lbs,Female: 50-60 lbs
Bulldog,Male: 50 lbs,Female: 40 lbs
Bullmastiff,Male: 110-130 lbs,Female: 100-120 lbs
Cairn Terrier,Male: 14 lbs,Female: 13 lbs
Canaan Dog,Male: 45-55 lbs,Female: 35-45 lbs
Cane Corso,Male: 99-110 lbs,Female: 88-99 lbs
Cardigan Welsh Corgi,Male: 30-38 lbs,Female: 25-34 lbs
Cavalier King Charles Spaniel,Male: 13-18 lbs,Female: 13-18 lbs
Chesapeake Bay Retriever,Male: 65-80 lbs,Female: 55-70 lbs
Chihuahua,Male: 3-8 lbs,Female: 3-8 lbs
Chinese Crested Dog,Male: 5-12 lbs,Female: 5-12 lbs
Chinese Shar-Pei,Male: 45-60 lbs,Female: 45-60 lbs
Chow Chow,Male: 45-70 lbs,Female: 45-70 lbs
Clumber Spaniel,Male: 70-85 lbs,Female: 55-70 lbs
Cocker Spaniel,Male: 24-34 lbs,Female: 24-32 lbs
Collie,Male: 60-75 lbs,Female: 60-65 lbs
Corgi,Male: 27-38 lbs,Female: 25-34 lbs
Coton de Tulear,Male: 11-14 lbs,Female: 11-14 lbs
Curly-Coated Retriever,Male: 60-70 lbs,Female: 60-70 lbs
Dachshund (Standard),Male: 11-32 lbs,Female: 11-32 lbs
Dalmatian,Male: 40-60 lbs,Female: 40-60 lbs
Dandie Dinmont Terrier,Male: 18-24 lbs,Female: 18-24 lbs
Doberman Pinscher,Male: 65-90 lbs,Female: 65-90 lbs
English Foxhound,Male: 55-75 lbs,Female: 55-75 lbs
English Setter,Male: 60-65 lbs,Female: 50-55 lbs
English Springer Spaniel,Male: 50 lbs,Female: 40 lbs
English Toy Spaniel,Male: 8-14 lbs,Female: 8-14 lbs
Field Spaniel,Male: 35-50 lbs,Female: 35-50 lbs
Finnish Spitz,Male: 31-36 lbs,Female: 23-29 lbs
Flat Coat Retriever,Male: 60-70 lbs,Female: 60-70 lbs
German Pinscher,Male: 25-35 lbs,Female: 25-35 lbs
German Shepherd Dog,Male: 75-95 lbs,Female: 75-95 lbs
Giant Schnauzer,Male: 65-90 lbs,Female: 65-90 lbs
Glen of Imaal Terrier,Male: 25-35 lbs,Female: 25-35 lbs
Golden Retriever,Male: 65-75 lbs,Female: 55-65 lbs
